id;id_ra;cod_natureza;mes;ano;quantidade
293;1;30;5;2021;1
294;1;30;6;2021;0
295;1;30;7;2021;1
296;1;30;8;2021;2
297;1;30;9;2021;1
298;1;30;10;2021;0
299;1;30;11;2021;1
300;1;30;12;2021;1
301;1;3;1;2021;11
302;1;3;2;2021;8
303;1;3;3;2021;6
304;1;3;4;2021;9
305;1;3;5;2021;3
306;1;3;6;2021;0
307;1;3;7;2021;4
308;1;3;8;2021;15
309;1;3;9;2021;21
310;1;3;10;2021;23
311;1;3;11;2021;6
312;1;3;12;2021;6
313;1;8;1;2021;2
314;1;8;2;2021;1
315;1;8;3;2021;1
316;1;8;4;2021;2
317;1;8;5;2021;0
318;1;8;6;2021;1
319;1;8;7;2021;0
320;1;8;8;2021;5
321;1;8;9;2021;2
322;1;8;10;2021;4
323;1;8;11;2021;0
324;1;8;12;2021;1
325;1;4;1;2021;1
326;1;4;2;2021;0
327;1;4;3;2021;0
328;1;4;4;2021;0
329;1;4;5;2021;0
330;1;4;6;2021;0
331;1;4;7;2021;0
332;1;4;8;2021;0
333;1;4;9;2021;0
334;1;4;10;2021;1
335;1;4;11;2021;0
336;1;4;12;2021;0
337;1;31;1;2021;2
338;1;31;2;2021;0
339;1;31;3;2021;1
340;1;31;4;2021;0
341;1;31;5;2021;0
342;1;31;6;2021;0
343;1;31;7;2021;0
344;1;31;8;2021;0
345;1;31;9;2021;2
346;1;31;10;2021;1
347;1;31;11;2021;0
348;1;31;12;2021;2
349;1;6;1;2021;0
350;1;6;2;2021;0
351;1;6;3;2021;0
352;1;6;4;2021;0
353;1;6;5;2021;0
354;1;6;6;2021;0
355;1;6;7;2021;1
356;1;6;8;2021;1
357;1;6;9;2021;0
358;1;6;10;2021;0
359;1;6;11;2021;0
360;1;6;12;2021;0
361;1;13;1;2021;1
362;1;13;2;2021;0
363;1;13;3;2021;2
364;1;13;4;2021;0
365;1;13;5;2021;0
366;1;13;6;2021;0
367;1;13;7;2021;0
368;1;13;8;2021;1
369;1;13;9;2021;1
370;1;13;10;2021;0
371;1;13;11;2021;2
372;1;13;12;2021;0
373;1;19;1;2021;0
374;1;19;2;2021;0
375;1;19;3;2021;0
376;1;19;4;2021;0
377;1;19;5;2021;0
378;1;19;6;2021;0
379;1;19;7;2021;0
380;1;19;8;2021;0
381;1;19;9;2021;0
382;1;19;10;2021;0
383;1;19;11;2021;0
384;1;19;12;2021;0
385;1;11;1;2021;4
386;1;11;2;2021;10
387;1;11;3;2021;6
388;1;11;4;2021;4
389;1;11;5;2021;3
390;1;11;6;2021;0
391;1;11;7;2021;0
392;1;11;8;2021;2
393;1;11;9;2021;0
394;1;11;10;2021;5
395;1;11;11;2021;2
396;1;11;12;2021;4
397;1;32;1;2021;6
398;1;32;2;2021;18
399;1;32;3;2021;11
400;1;32;4;2021;4
401;1;32;5;2021;3
402;1;32;6;2021;1
403;1;32;7;2021;1
404;1;32;8;2021;5
405;1;32;9;2021;10
406;1;32;10;2021;8
407;1;32;11;2021;10
408;1;32;12;2021;7
409;1;1;1;2022;1
410;1;1;2;2022;0
411;1;1;3;2022;1
412;1;1;4;2022;1
413;1;1;5;2022;1
414;1;1;6;2022;0
415;1;1;7;2022;2
416;1;1;8;2022;2
417;1;1;9;2022;0
418;1;1;10;2022;1
419;1;1;11;2022;0
420;1;1;12;2022;3
421;1;2;1;2022;1
422;1;2;2;2022;1
423;1;2;3;2022;1
424;1;2;4;2022;1
425;1;2;5;2022;1
426;1;2;6;2022;2
427;1;2;7;2022;1
428;1;2;8;2022;0
429;1;2;9;2022;2
430;1;2;10;2022;2
431;1;2;11;2022;1
432;1;2;12;2022;1
433;1;23;1;2022;3
434;1;23;2;2022;1
435;1;23;3;2022;3
436;1;23;4;2022;3
437;1;23;5;2022;3
438;1;23;6;2022;7
439;1;23;7;2022;12
440;1;23;8;2022;5
441;1;23;9;2022;6
442;1;23;10;2022;8
443;1;23;11;2022;9
444;1;23;12;2022;2
445;1;7;1;2022;1
446;1;7;2;2022;0
447;1;7;3;2022;0
448;1;7;4;2022;0
449;1;7;5;2022;0
450;1;7;6;2022;0
451;1;7;7;2022;0
452;1;7;8;2022;0
453;1;7;9;2022;1
454;1;7;10;2022;0
455;1;7;11;2022;1
456;1;7;12;2022;1
457;1;27;1;2022;0
458;1;27;2;2022;0
459;1;27;3;2022;0
460;1;27;4;2022;0
461;1;27;5;2022;0
462;1;27;6;2022;0
463;1;27;7;2022;0
464;1;27;8;2022;0
465;1;27;9;2022;0
466;1;27;10;2022;0
467;1;27;11;2022;0
468;1;27;12;2022;1
469;1;28;1;2022;0
470;1;28;2;2022;0
471;1;28;3;2022;1
472;1;28;4;2022;0
473;1;28;5;2022;0
474;1;28;6;2022;0
475;1;28;7;2022;0
476;1;28;8;2022;0
477;1;28;9;2022;0
478;1;28;10;2022;0
479;1;28;11;2022;0
480;1;28;12;2022;0
481;1;29;1;2022;3
482;1;29;2;2022;2
483;1;29;3;2022;2
484;1;29;4;2022;6
485;1;29;5;2022;2
486;1;29;6;2022;5
487;1;29;7;2022;6
488;1;29;8;2022;5
489;1;29;9;2022;2
490;1;29;10;2022;9
491;1;29;11;2022;2
492;1;29;12;2022;5
493;1;30;1;2022;0
494;1;30;2;2022;0
495;1;30;3;2022;0
496;1;30;4;2022;1
497;1;30;5;2022;0
498;1;30;6;2022;2
499;1;30;7;2022;0
500;1;30;8;2022;0
501;1;30;9;2022;3
502;1;30;10;2022;0
503;1;30;11;2022;1
504;1;30;12;2022;2
505;1;3;1;2022;9
506;1;3;2;2022;17
507;1;3;3;2022;17
508;1;3;4;2022;11
509;1;3;5;2022;7
510;1;3;6;2022;6
511;1;3;7;2022;11
512;1;3;8;2022;6
513;1;3;9;2022;12
514;1;3;10;2022;6
515;1;3;11;2022;10
516;1;3;12;2022;8
517;1;8;1;2022;4
518;1;8;2;2022;2
519;1;8;3;2022;1
520;1;8;4;2022;1
521;1;8;5;2022;0
522;1;8;6;2022;3
523;1;8;7;2022;0
524;1;8;8;2022;1
525;1;8;9;2022;0
526;1;8;10;2022;5
527;1;8;11;2022;2
528;1;8;12;2022;1
529;1;4;1;2022;0
530;1;4;2;2022;0
531;1;4;3;2022;0
532;1;4;4;2022;0
533;1;4;5;2022;0
534;1;4;6;2022;0
535;1;4;7;2022;2
536;1;4;8;2022;0
537;1;4;9;2022;0
538;1;4;10;2022;0
539;1;4;11;2022;0
540;1;4;12;2022;0
541;1;31;1;2022;0
542;1;31;2;2022;1
543;1;31;3;2022;0
544;1;31;4;2022;0
545;1;31;5;2022;1
546;1;31;6;2022;0
547;1;31;7;2022;0
548;1;31;8;2022;0
549;1;31;9;2022;0
550;1;31;10;2022;1
551;1;31;11;2022;0
552;1;31;12;2022;0
553;1;6;1;2022;0
554;1;6;2;2022;0
555;1;6;3;2022;0
556;1;6;4;2022;0
557;1;6;5;2022;0
558;1;6;6;2022;0
559;1;6;7;2022;0
560;1;6;8;2022;0
561;1;6;9;2022;0
562;1;6;10;2022;0
563;1;6;11;2022;0
564;1;6;12;2022;0
565;1;13;1;2022;0
566;1;13;2;2022;2
567;1;13;3;2022;0
568;1;13;4;2022;0
569;1;13;5;2022;0
570;1;13;6;2022;0
571;1;13;7;2022;1
572;1;13;8;2022;0
573;1;13;9;2022;0
574;1;13;10;2022;1
575;1;13;11;2022;1
576;1;13;12;2022;1
577;1;19;1;2022;0
578;1;19;2;2022;0
579;1;19;3;2022;0
580;1;19;4;2022;0
581;1;19;5;2022;0
582;1;19;6;2022;0
583;1;19;7;2022;0
584;1;19;8;2022;0
585;1;19;9;2022;0
586;1;19;10;2022;0
587;1;19;11;2022;1
588;1;19;12;2022;0
589;1;11;1;2022;3
590;1;11;2;2022;6
591;1;11;3;2022;4
592;1;11;4;2022;1
593;1;11;5;2022;2
594;1;11;6;2022;7
595;1;11;7;2022;5
596;1;11;8;2022;2
597;1;11;9;2022;0
598;1;11;10;2022;1
599;1;11;11;2022;3
600;1;11;12;2022;1
601;1;32;1;2022;10
602;1;32;2;2022;6
603;1;32;3;2022;11
604;1;32;4;2022;3
605;1;32;5;2022;3
606;1;32;6;2022;6
607;1;32;7;2022;8
608;1;32;8;2022;4
609;1;32;9;2022;4
610;1;32;10;2022;4
611;1;32;11;2022;4
612;1;32;12;2022;8
613;1;1;1;2023;3
614;1;1;2;2023;0
615;1;1;3;2023;0
616;1;1;4;2023;3
617;1;1;5;2023;0
618;1;1;6;2023;0
619;1;1;7;2023;2
620;1;1;8;2023;2
621;1;1;9;2023;2
622;1;1;10;2023;0
623;1;1;11;2023;0
624;1;1;12;2023;1
625;1;2;1;2023;3
626;1;2;2;2023;2
627;1;2;3;2023;0
628;1;2;4;2023;0
629;1;2;5;2023;1
630;1;2;6;2023;1
631;1;2;7;2023;0
632;1;2;8;2023;1
633;1;2;9;2023;0
634;1;2;10;2023;1
635;1;2;11;2023;1
636;1;2;12;2023;1
637;1;23;1;2023;6
638;1;23;2;2023;9
639;1;23;3;2023;2
640;1;23;4;2023;5
641;1;23;5;2023;7
642;1;23;6;2023;2
643;1;23;7;2023;7
644;1;23;8;2023;13
645;1;23;9;2023;9
646;1;23;10;2023;2
647;1;23;11;2023;6
648;1;23;12;2023;3
649;1;7;1;2023;0
650;1;7;2;2023;0
651;1;7;3;2023;0
652;1;7;4;2023;0
653;1;7;5;2023;1
654;1;7;6;2023;0
655;1;7;7;2023;0
656;1;7;8;2023;3
657;1;7;9;2023;0
658;1;7;10;2023;0
659;1;7;11;2023;0
660;1;7;12;2023;0
661;1;27;1;2023;0
662;1;27;2;2023;0
663;1;27;3;2023;0
664;1;27;4;2023;0
665;1;27;5;2023;0
666;1;27;6;2023;0
667;1;27;7;2023;1
668;1;27;8;2023;0
669;1;27;9;2023;0
670;1;27;10;2023;0
671;1;27;11;2023;0
672;1;27;12;2023;0
673;1;28;1;2023;0
674;1;28;2;2023;0
675;1;28;3;2023;0
676;1;28;4;2023;0
677;1;28;5;2023;0
678;1;28;6;2023;0
679;1;28;7;2023;0
680;1;28;8;2023;0
681;1;28;9;2023;0
682;1;28;10;2023;0
683;1;28;11;2023;0
684;1;28;12;2023;0
685;1;29;1;2023;6
686;1;29;2;2023;8
687;1;29;3;2023;2
688;1;29;4;2023;2
689;1;29;5;2023;3
690;1;29;6;2023;3
691;1;29;7;2023;4
692;1;29;8;2023;4
693;1;29;9;2023;0
694;1;29;10;2023;3
695;1;29;11;2023;4
696;1;29;12;2023;4
697;1;30;1;2023;1
698;1;30;2;2023;5
699;1;30;3;2023;2
700;1;30;4;2023;0
701;1;30;5;2023;0
702;1;30;6;2023;2
703;1;30;7;2023;1
704;1;30;8;2023;0
705;1;30;9;2023;0
706;1;30;10;2023;0
707;1;30;11;2023;2
708;1;30;12;2023;0
709;1;3;1;2023;8
710;1;3;2;2023;7
711;1;3;3;2023;7
712;1;3;4;2023;13
713;1;3;5;2023;6
714;1;3;6;2023;5
715;1;3;7;2023;6
716;1;3;8;2023;6
717;1;3;9;2023;6
718;1;3;10;2023;9
719;1;3;11;2023;3
720;1;3;12;2023;8
721;1;8;1;2023;2
722;1;8;2;2023;3
723;1;8;3;2023;1
724;1;8;4;2023;0
725;1;8;5;2023;1
726;1;8;6;2023;1
727;1;8;7;2023;3
728;1;8;8;2023;0
729;1;8;9;2023;0
730;1;8;10;2023;0
731;1;8;11;2023;1
732;1;8;12;2023;1
733;1;4;1;2023;0
734;1;4;2;2023;1
735;1;4;3;2023;0
736;1;4;4;2023;0
737;1;4;5;2023;0
738;1;4;6;2023;0
739;1;4;7;2023;0
740;1;4;8;2023;0
741;1;4;9;2023;0
742;1;4;10;2023;0
